발명의명칭,출원인,출원일자,심사진행상태
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.08.20,
마이크로LED 표시장치(MICRO LED DISPLAY DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.13,등록결정(일반)
마이크로 LED 표시 패널 및 그 제조 방법(MICRO LED DISPLAY PANEL AND METHOD OF MANUFACTURING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.22,
마이크로LED 표시장치(MICRO LED DISPLAY DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.18,
LED 선택전압 구동 회로(LED selected voltage driver circuit),엘지이노텍 주식회사(서울특별시 강서구...),2015.12.28,
LED 구동 회로(LED Driving Circuit),엘지이노텍 주식회사(서울특별시 강서구...),2009.08.19,등록결정(일반)
"LED 어셈블리, 이를 포함하는 백라이트 유닛 및 액정표시장치(LED ASSEMBLY, BACKLIGHT UINT AND LIQUID CRYSTAL DISPLAY COMPRISING OF THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2010.12.28,등록결정(일반)
LED 전원 장치(Power supply apparatus of LED),엘지이노텍 주식회사(서울특별시 강서구...),2010.07.15,등록결정(일반)
"LED전원제어방법, 상기 LED전원제어방법을 사용하는 LED 전원제어장치 및 LED 구동시스템(Method for controlling the Light emitting Diode supply power and LED supply power control device and system using the method)",엘지이노텍 주식회사(서울특별시 강서구...),2010.11.26,등록결정(일반)
LED 패키지 및 이를 포함하는 백라이트 유닛(LED PACKAGE AND BACK LIGHT UNIT HAVING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.12.28,등록결정(일반)
LED 구동회로(LED driving circuit),엘지이노텍 주식회사(서울특별시 강서구...),2011.10.17,등록결정(일반)
LED 전원 장치(Power supply apparatus of LED),엘지이노텍 주식회사(서울특별시 강서구...),2010.07.23,등록결정(일반)
LED구동 장치 및 방법(Apparatus and method for driving LED),엘지전자 주식회사(서울특별시 영등포구...),2010.12.21,거절결정(일반)
UV LED를 이용한 자외선 살균 장치 및 시스템과 그 운용 방법(Apparatus and system for sterilizing using UV LED and method of operating the same),주식회사 엘지유플러스(서울특별시 용산구...),2021.01.19,
UV LED를 갖는 가습기(HUMIDIFIER HAVING UV LED),엘지이노텍 주식회사(서울특별시 강서구...),2010.10.18,취하(심사미청구)
LED 조명장치(LED Lighting Apparatus),엘지이노텍 주식회사(서울특별시 강서구...),2011.12.19,등록결정(일반)
UV LED 및 도광막대를 갖는 가습기(HUMIDIFIER HAVING UV LED AND LIGHT GUIDE STICK),엘지이노텍 주식회사(서울특별시 강서구...),2010.10.18,거절결정(일반)
UV LED를 갖는 가습기(HUMIDIFIER HAVING UV LED),엘지이노텍 주식회사(서울특별시 강서구...),2010.10.19,거절결정(일반)
마이크로LED 표시장치(MICRO LED DISPLAY DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.08.16,
마이크로 LED 디스플레이(MICRO LED DISPLAY),주식회사 엘지화학(서울특별시 영등포구...),2020.01.09,
