발명의명칭,출원인,출원일자,심사진행상태
기입 전류와 같은 방향의 금지 전류를 흐르게 하는마그네틱 램(Magnetoresistive RAM flowing inhibition current in thesame direction as write current),삼성전자주식회사(경기도 수원시 영통구...),2006.09.26,등록결정(일반)
개선된 데이터 기입 제어 회로를 가지는 4비트 프리페치방식 FCRAM 및 이에 대한 데이터 마스킹 방법(4Bit prefetch type FCRAM having the improved controlcircuit for writing data in memory cell array and datamasking method thereof),삼성전자주식회사(경기도 수원시 영통구...),2002.11.30,등록결정(일반)
디지털 비디오 디스크-램 시스템에서 디펙트 섹터 데이터의처리방법(Method for processing defect sector data in a digital video disc RAM system),삼성전자주식회사(경기도 수원시 영통구...),1997.12.31,등록결정(일반)
JTAG를 사용한 SDRAM 다이나믹 셀프 리프레쉬 입구 및 출구용 구조 및 방법(STRUCTURE AND METHOD FOR SDRAM DYNAMIC SELF REFRESH ENTRY AND EXIT USING JTAG),삼성전자주식회사(경기도 수원시 영통구...),1997.06.05,등록결정(일반)
컨볼루션 SRAM 및 대각방향 축적 SRAM을 포함하는 신경망 가속기(Neural network device including convolution SRAM and diagonal accumulation SRAM),삼성전자주식회사(경기도 수원시 영통구...)|한국과학기술원(대전광역시 유성구...),2020.12.31,
단위 SRAM들 단위로 초기화할 수 있는 반도체 장치(Semiconductor device for initialization by the unitSRAMs),삼성전자주식회사(경기도 수원시 영통구...),2004.07.22,등록결정(일반)
램 고정용 지그(Supporting jig for ram device),삼성중공업 주식회사(경기도 성남시 분당구...),2011.05.31,등록결정(일반)
저항 메모리 소자 및 그 제조 방법(Resist RAM and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...),2008.12.30,등록결정(일반)
대역 내 DRAM ECC(IN-BAND DRAM ECC),삼성전자주식회사(경기도 수원시 영통구...),2019.02.07,
저항성 메모리 소자 및 그 제조 방법(Resist RAM device and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...),2011.12.06,등록결정(일반)
핀 비용의 증가없는 고용량 SDRAM-향 메모리의 어드레싱 방법(METHODS FOR ADDRESSING HIGH CAPACITY SDRAM-LIKE MEMORY WITHOUT INCREASING PIN COST),삼성전자주식회사(경기도 수원시 영통구...),2017.01.11,
"비휘발성 램, 이를 포함하는 솔리드 스테이트 드라이브, 및 이를 포함하는 컴퓨터 시스템(NON-VOLATILE RAM, SOLID STATE DIRVE INCLUDING THE SAME, AND COMPUTER SYSTEM INCLUDING THE SAME)",삼성전자주식회사(경기도 수원시 영통구...),2009.04.09,등록결정(일반)
네트워크 시스템에서 듀얼 포트 램을 이용한 간접 억세스장치 및 방법(APPARATUS AND METHOD FOR INDIRECT ACCESS USING DUALPORT RAM IN NETWORK SYSTEM),삼성전자주식회사(경기도 수원시 영통구...),2003.12.19,취하(심사미청구)
플러렌층을 구비한 상변화 메모리 소자의 제조 방법(Manufacturing method phase-change RAM comprisingfullerene layer),삼성전자주식회사(경기도 수원시 영통구...),2006.01.03,등록결정(일반)
시스템 런타임 환경에서 DRAM 셀 상의 라이트 보호 커맨드를 발행하는 방법(METHOD TO ISSUE WRITE PROTECT COMMANDS ON DYNAMIC RANDOM-ACCESS MEMORY(DRAM) CELLS IN A SYSTEM RUN-TIME ENVIRONMENT),삼성전자주식회사(경기도 수원시 영통구...),2018.11.13,
DDR 버스를 통해 DRAM 내의 ECC 정보를 전달하는 방법(A METHOD TO DELIVER IN-DRAM ECC INFORMATION THROUGH DDR BUS),삼성전자주식회사(경기도 수원시 영통구...),2017.05.10,등록결정(일반)
램(RAM)이 효율적으로 사용되는 방전 디스플레이 패널의구동 장치(Apparatus for driving discharge display panel whereinRAM is effeciently used),삼성에스디아이 주식회사(경기도 용인시 기흥구...),2006.07.18,취하(심사미청구)
램(RAM)이 효율적으로 사용되는 방전 디스플레이 패널의구동 장치(Apparatus for driving discharge display panel whereinRAM is effeciently used),삼성에스디아이 주식회사(경기도 용인시 기흥구...),2006.10.30,등록결정(일반)
램(RAM)이 효율적으로 사용되는 방전 디스플레이패널의 구동 장치(Apparatus for driving discharge display panel whereinRAM is effeciently used),삼성에스디아이 주식회사(경기도 용인시 기흥구...),2006.10.24,취하(심사미청구)
DRAM 기반 프로세싱 장치를 위한 확장 아키텍처(A SCALING OUT ARCHITECTURE FOR DRAM-BASED PROCESSING UNIT),삼성전자주식회사(경기도 수원시 영통구...),2017.10.17,등록결정(일반)
"MRAM 기반의 프레임 버퍼링 장치, 그 장치를 포함하는 디스플레이 구동 장치 및 디스플레이 장치(Frame buffering apparatus based on MRAM(Magnetic Random Access Memory), and display drive apparatus and display apparatus comprising the same)",삼성전자주식회사(경기도 수원시 영통구...),2014.12.08,등록결정(일반)
DDR4 SDRAM에서의 최대 액티베이션 카운트 제한 핸들링 및 타겟 로우 리프레쉬(HANDLING MAXIMUM ACTIVATION COUNT LIMIT AND TARGET ROW REFRESH IN DDR4 SDRAM),삼성전자주식회사(경기도 수원시 영통구...),2015.01.14,등록결정(일반)
램 라이트 및 딥 드래프트 라이트 표시 장치(APPARATUS FOR DISPLAYING RAM LIGHT AND DEEP DRAFT LIGHT),삼성중공업 주식회사(경기도 성남시 분당구...),2009.01.13,등록결정(일반)
에너지 효율적인 PRAM 어레이 기입 동작을 수행하는 메모리 장치 및 이를 포함하는 메모리 시스템(ENERGY EFFICIENT PHASE CHANGE RANDOM ACCESS MEMORY CELL ARRAY WRITE VIA CONTROLLER-SIDE AGGREGATION MANAGEMENT),삼성전자주식회사(경기도 수원시 영통구...),2019.12.10,
DDR SDRAM 인터페이스를 위한 DRAM 지원 에러 정정 메커니즘(A DRAM ASSIST ERROR CORRECTION MECHANISM FOR DDR SDRAM INTERFACE),삼성전자주식회사(경기도 수원시 영통구...),2017.04.17,등록결정(일반)
D-RAM의 억세스 방식을 채용한 S-RAM 및 FLASH-RAM의어드레스디코딩회로(),삼성전자주식회사(경기도 수원시 영통구...),1996.02.08,거절결정(일반)
캐패시터를 사용하여 데이터를 저장하는 듀얼-포트 SRAM(Dual-Port SRAM Storing Data Using Capacitor),삼성전자주식회사(경기도 수원시 영통구...),2012.06.22,취하(심사미청구)
DRAM 인터페이스와 공유 메모리 영역을 통한 비휘발성 메모리 장치와 자기 기록 매체에 접근할 수 있는 장치(Apparatus for accessing non-volatile memory device and magnetic storage medium through DRAM interface and shared memory region),삼성전자주식회사(경기도 수원시 영통구...),2009.10.16,취하(심사미청구)
버퍼램을 포함하는 불휘발성 메모리 장치 및 그것의 부트 코드 관리 방법(NONVOLATILE MEMORY DEVICE HAVING A BUFFER RAM AND BOOT CODE MANAGEMENT METHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...),2009.02.13,등록결정(일반)
부트 램을 반도체 메모리 장치 내에 구비한 멀티 프로세서시스템 및 그를 이용한 프로세서 부팅 방법(Multi processor system having multi-path accessible semiconductor memory device with boot RAM and therefore method),삼성전자주식회사(경기도 수원시 영통구...),2007.05.23,취하(심사미청구)
비휘발성 램을 위한 코드 생성 방법(Code generation method for nonvolatile RAM),삼성전자주식회사(경기도 수원시 영통구...),2007.04.26,취하(심사미청구)
비정질 고체 전해질층을 포함하는 저항성 메모리 소자 및그 동작 방법(Resistive RAM having amorphous solid electrolyte andmethod of operating the same),삼성전자주식회사(경기도 수원시 영통구...),2006.10.16,등록결정(일반)
복합단말기에서 DPRAM을 이용한 다중 데이터 전송 장치 및 방법(METHOD AND APPARATUS OF MULTIPLE DATA TRANSMISSION USING DPRAM IN MITS),삼성전자주식회사(경기도 수원시 영통구...),2006.03.02,등록결정(일반)
다이오드겸용 저항소자를 구비하는 상변화 램과 그 제조 및동작 방법(Phase change RAM comprising resistive element havingdiode function and methods of manufacturing andoperating the same),삼성전자주식회사(경기도 수원시 영통구...),2006.02.07,등록결정(일반)
상변화 메모리 소자 및 그 제조방법(Phase-Change RAM and method for manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...),2006.01.27,등록결정(일반)
금속 산화물 저항 기억소자 및 그 제조방법(Metal Oxide Resistive RAM and Manufacturing MethodThereof),삼성전자주식회사(경기도 수원시 영통구...),2005.05.23,등록결정(일반)
버스트 동작이 가능한 에스램 메모리 장치(Static RAM memory device having burst operation),삼성전자주식회사(경기도 수원시 영통구...),2005.01.15,등록결정(일반)
DVD-RAM에서 디코드 에러 카운트에 의한 포커스에러 밸런스 조정 방법(Method for controlling focus error balance by countingdecode error in digital versatile disc random accessmemory),삼성전자주식회사(경기도 수원시 영통구...),2003.12.26,등록결정(일반)
다이내믹램리프레쉬회로(DYNAMIC RAM REFRESH CIRCUIT),삼성전자주식회사(경기도 수원시 영통구...),1990.10.25,등록결정(일반)
DVD-RAM에서 SBAD 신호를 이용한 서보 제어장치 및방법(Apparatus and method for controlling servo using subbeam add signal in digital versatile disc randomaccess memory),삼성전자주식회사(경기도 수원시 영통구...),2003.05.31,등록결정(일반)
휴대용 단말기를 위한 스태틱 램을 탑재한 다이나믹 램(STATIC RAM-EMBEDDED DYNAMIC RAM FOR MOBILE PHONE),삼성전자주식회사(경기도 수원시 영통구...),2003.02.18,취하(심사미청구)
TFT FRAM 및 그 제조방법(Thin film transistor ferroelectric random accessmemory and method for manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...),2002.11.07,거절결정(일반)
6 트랜지스터 에스램 셀들을 구비하는 램 내장형 TFTLCD드라이버의 램 제어회로 및 램 제어방법(RAM control circuit and method of TFT LCD driverincluding 6 transistor SRAM cell),삼성전자주식회사(경기도 수원시 영통구...),2002.04.19,취하(심사미청구)
에스램의 단위셀 및 그 제조 방법(Unit Cell Of Static RAM And Method Of Fabricating TheSame),삼성전자주식회사(경기도 수원시 영통구...),2001.09.07,취하(심사미청구)
비터비 입력 버퍼 램을 구비한 디인터리버(DEINTERLEAVER INCLUDING VITERBI INPUT BUFFER RAM),삼성전자주식회사(경기도 수원시 영통구...),2000.11.13,취하(심사미청구)
유전체 조성물 및 이를 이용한 DRAM셀의 캐패시터제조방법(DIELECTRIC COMPOSITION AND METHOD FOR MANUFACTURINGCAPACITOR OF DRAM CELL BY USING IT),삼성전기주식회사(경기도 수원시 영통구...),2000.06.30,등록결정(일반)
D-RAM제어기의읽기/쓰기명령신호발생회로(),삼성전자주식회사(경기도 수원시 영통구...),1987.12.31,등록결정(일반)
D-RAM제어회로(),삼성전자주식회사(경기도 수원시 영통구...),1987.12.28,등록결정(일반)
D-RAM확장회로(),삼성전자주식회사(경기도 수원시 영통구...),1987.12.28,등록결정(일반)
