발명의명칭,출원인,출원일자,심사진행상태
반투과형 박막 트랜지스터 기판 및 그 제조 방법(Thin Film Transistor Substrate of Transflective TypeAnd Method for Fabricating The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2004.12.06,등록결정(일반)
"박막트랜지스터 및 그 제조방법, 박막트랜지스터를 포함하는 표시장치(THIN FILM TRANSISTOR AND MEHTOD OF FABRICATING THEREOF, DISPLAY DEVICE HAVING THIN FILM TRANSISTOR)",엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.30,
수직 구조 트랜지스터 및 전자장치(VERTICAL STRUCTURE TRANSISTOR AND ELECTRONIC DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.11.16,
"박막 트랜지스터, 박막 트랜지스터 제조 방법 및 박막 트랜지스터를 포함하는 표시 장치(THIN FILM TRANSISTOR, METHOD FOR MANUFACTURING THE SAME AND DISPLAY DEVICE COMPRISING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2013.08.05,등록결정(일반)
복합형 박막 트랜지스터를 갖는 유기 전계 발광 표시 장치(ORGANIC EMITTING DISPLAY DEVICE HAVING MULTI-TYPE THIN FILM TRANSISTOR),엘지디스플레이 주식회사(서울특별시 영등포구...),2014.07.04,등록결정(일반)
트랜지스터 및 전자장치(TRANSISTOR AND ELECTRONIC DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.12.18,
박막 트랜지스터 및 그 제조 방법(Thin Film Transistor and the fabrication method thereof),엘지디스플레이 주식회사(서울특별시 영등포구...),2005.05.31,등록결정(일반)
폴리 실리콘 박막 트랜지스터 제조방법(method for thin film transistor using poly silicon),엘지디스플레이 주식회사(서울특별시 영등포구...),2002.10.31,등록결정(일반)
산화물 박막 트랜지스터 어레이 기판 및 이의 제조 방법(Oxide Thin Film Transistor Array Board And Method Manufacturing Of The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.07.23,등록결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.08.27,등록결정(일반)
박막 트랜지스터 기판을 포함하는 표시장치(DISPLAY DEVICE INCLUDING THIN FILM TRANSISTOR SUBSTRATE),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(일반)
"박막 트랜지스터 및 그를 이용한 내장형 게이트 구동부를 갖는 표시 장치(THIN FILM TRANSISTOR, DISPLAY DEVICE HAVING BUILT-IN GATE DRIVER USING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.30,
"박막 트랜지스터 및 그 제조 방법과, 그를 이용한 표시장치및 표시장치용 구동 회로(THIN FILM TRANSISTOR AND METHOD OF FABIRCATING THE SAME, DISPLAY DEVICE AND ITS DIRVING CIRCUIT USING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2007.03.08,등록결정(일반)
박막 트랜지스터 기판 및 그 제조방법(Thin Film Transistor Substrate And Method OfFabricating The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2005.11.24,등록결정(일반)
박막트랜지스터 어레이 기판(THIN FILM TRANSISTOR ARRAY SUBSTRATE),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.04.28,등록결정(일반)
산화물 박막트랜지스터를 포함하는 영상표시장치 및 그 구동방법(IMAGE DISPLAY DEVICE INCLUDING OXIDE THIN FILM TRANSISTOR AND METHOD OF DRIVING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.04.03,등록결정(일반)
산화물 박막 트랜지스터를 구비한 평판표시장치 및 그의 제조방법(Flat panel display device having oxide thin film transistor and method for fabricating thereof),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.05.28,등록결정(일반)
박막 트랜지스터 기판 및 그 제조 방법(Thin Film Transistor Substrate And Method For Manufacturing The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.11.16,등록결정(일반)
TFT 어레이 기판 및 그 제조방법(Thin Film Transistor Array Substrate And Method ForFabricating The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2006.03.31,등록결정(일반)
산화물 박막 트랜지스터의 제조방법(METHOD OF FABRICATING OXIDE THIN FILM TRANSISTOR),엘지디스플레이 주식회사(서울특별시 영등포구...),2008.06.30,등록결정(일반)
박막 트랜지스터 어레이 기판 및 그 제조방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND METHOD FOR FABRICATING THEREOF),엘지디스플레이 주식회사(서울특별시 영등포구...),2006.12.23,등록결정(일반)
박막 트랜지스터 기판 및 그 제조방법(Thin film transistor substrate and Method of manufacturing the sames),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.01.12,등록결정(재심사후)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(일반)
유기발광다이오드 표시장치의 구동트랜지스터 특성 검출방법(The Method for Detecting of Driving Transistor Charactics of Organic Light Emitting diode Display),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.12.27,등록결정(일반)
박막 트랜지스터 어레이 기판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND MANUFACTURING METHOD OF THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2006.11.29,등록결정(일반)
박막 트랜지스터 기판 및 그 제조방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND FABRICATINGMETHOD THEREOF),엘지디스플레이 주식회사(서울특별시 영등포구...),2005.11.24,등록결정(일반)
박막트랜지스터 어레이 기판 및 이를 포함하는 표시장치(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND DISPLAY PANEL COMPRISING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.06.24,등록결정(일반)
고 개구율을 갖는 대화면 수평 전계 방식 표시장치용 박막 트랜지스터 기판(Thin Film Transistor Substrate For In-Plane Switching Display Having High Aperture Ratio),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.12.24,등록결정(일반)
박막 트랜지스터 어레이 기판 및 이를 포함하는 액정 표시 장치(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND LIQUID CRYSTAL DISPLAY DEVICE COMPRISING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.04.16,등록결정(일반)
박막 트랜지스터 어레이 기판 및 이의 제조 방법(Thin film transistor array substrate and method thereof),엘지디스플레이 주식회사(서울특별시 영등포구...),2010.12.28,등록결정(재심사후)
발광 트랜지스터 소자 및 발광 구조물(LIGHT EMITTING TRANSISTOR AND LIGHT EMITTING STRUCTURE),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.10.27,
