심사진행상태,출원일자,발명의명칭,출원인,,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.18,시디엠에이 이동통신 시스템에서 발신번호 표시 제어방법(Method for controlling of originating number display in CDMA mobile communication system),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.28,어드레스 구간에서의 플라즈마 디스플레이 패널 구동 방법(METHOD FOR DRIVING PLASMA DISPLAY PANEL IN ADDRESS PERIOD),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.28,플라즈마 디스플레이 패널 및 그 구동 방법(PLASMA DISPLAY PANEL AND DRIVING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.05.21,엘씨디 드라이버용 디지탈-아날로그 변환기(DIGITAL-ANALOG CONVERTOR FOR LIQUID CRYSTAL DISPLAY DRIVER),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.04.09,디지털 이동통신 교환기의 프로세서간 아이-피-시 경로 종류 분류 및 출력 방법(Method for displaying inter-processor communication path between processors and classifying type of the path in digitalmobile communication exchange),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.30,방전전압감소를위한투명전극을구비하는플라즈마디스플레이패널(PLASMA DISPLAY PANEL HAVING TRANSPARENT ELECTRODE FOR REDUCING DISCHARGE VOLTAGE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.30,전기영동법을이용한교류형플라즈마디스플레이패널의형광체층형성방법(METHOD FOR FORMING FLUORESCENT LAYER OF ALTERNATING CURRENT PLASMA DISPLAY PANEL USING ELECTROPHORESIS METHOD),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.30,캐소드루미네슨스형광체를갖는플라즈마디스플레이패널(PLASMA DISPLAY PANEL HAVING CATHODOLUMINESCENCE PHOSPHOR),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.30,"플라즈마디스플레이패널제조를위한배기,봉착장치및방법(EXHAUST/SEALING APPARATUS AND METHOD FOR FABRICATING PLASMA DISPLAY PANEL)",에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.30,플라즈마 디스플레이 패널의 구조 및 구동방법(STRUCTURE OF PLASMA DISPLAY PANEL AND OPERATING METHOD OF THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.29,액정 표시 장치(LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.30,플라즈마디스플레이패널형성방법(METHOD FOR FORMING PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
거절결정(일반),1998.12.30,봉착용테이프를이용한플라즈마디스플레이패널의봉착방법(METHOD FOR FORMING SEAL LAYER OF PLASMA DISPLAY PANEL USING SEALING TAPE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.23,액정 디스플레이 모듈(LIQUID CRYSTAL DISPLAY MODULE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.24,분말충진법을이용한플라즈마디스플레이패널의전극형성방법(METHOD FOR FORMING ELECTRODE OF PLASMA DISPLAY PANEL BY POWDER FILLING TEQNIQUE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.30,박막트랜지스터액정표시장치의패널구동방법(PANEL DRIVING METHOD FOR THIN FILM LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.24,분말충진법을 이용한 플라즈마 디스플레이 패널의 유전체층 형성 방법(FORMING METHOD OF DIELECTRIC LAYER OF PLASMA DISPLAY PANEL USING POWDER FILLING METHOD),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.23,플라즈마디스플레이소자의전원공급회로(POWER SUPPLY CIRCUIT OF A PLASMA DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.22,플라즈마디스플레이패널및그의구동방법(PLASMA DISPLAY PANEL AND METHOD FOR DRIVING THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.15,발광 표시 소자의 형광체 증착 장치_(APPARATUS FOR EVAPORATING A FLUORESCENT BODY OF A LIGHT EMITTING DISPLAYING DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.23,전계 방출 표시 소자의 제조방법(METHOD FOR FABRICATING FIELD EMISSION DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.15,액정 표시 장치(LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.15,유기 전계 발광 표시 소자(LIGHT EMITTING DISPLAYING DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.15,기판외측에부착되는컬러필터를포함하는액정표시장치(LIQUID CRYSTAL DISPLAY DEVICE HAVING COLOR FILTER ON OUTER SURFACE OF SUBSTRATE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.15,유기 전계 발광 표시 소자(ORGANIC ELECTRIC FIELD LIGHT EMITTING DISPLAYING DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.15,반사형액정표시장치(REFLECTION TYPE LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.10.28,플라즈마디스플레이패널의전면기판제조방법(METHOD FOR MANUFACTURING FRONT SUBSTRATE OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.10.28,직류형플라즈마디스플레이패널및그구동방법(DC PLASMA DISPLAY PANEL AND OPERATING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.10.28,플라즈마디스플레이패널용팁관및이를이용한불순물포획방법(SUB TIP TUBE FOR PLASMA DISPLAY PANEL AND IMPURITY CAPTURING METHOD USING IT),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.10.29,전계방출표시소자의제조방법(FIELD EMISSION DISPLAY DEVICE AND METHOD FOR FABRICATING THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.10.28,플라즈마디스플레이패널의전면기판제작방법(METHOD FOR MANUFACTURING FRONT SUBSTRATE OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.10.12,액정 표시 장치(LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.07.20,플라즈마디스플레이패널및그의구동방법(PLASMA DISPLAY PANEL AND DRIVE METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널(PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널의전극형성방법(ELECTRODE FORMATION METHOD OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널의제조방법(METHOD OF MANUFACTURING PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널의전극형성방법(ELECTRODE FORMATION METHOD OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,액정표시장치의폴리실리콘-박막트랜지스터의형성방법(METHOD OF MANUFACTURING A POLYSILICON-THIN FILM TRANSISTOR OF A LIQUID CRYSTAL DISPLAY),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널의제조방법(FORMING METHOD OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널의전극형성방법(METHOD OF FORMING ELECTRODES OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.29,플라즈마디스플레이패널의전면기판(FRONT SUBSTRATE OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널의게터및그의활성화방법(GETTER OF PLASMA DISPLAY PANEL AND ACTIVATION METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.29,플라즈마디스플레이패널의형광체층형성방법(METHOD OF FORMING FLUORESCENT LAYER OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.22,액정표시소자의화면표시품위검사방법(METHOD FOR TESTING LIQUID CRYSTAL DISPLAY DEVICES),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널의전면기판제조방법(METHOD OF MAKING FRONT SUBSTRATE OF PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.29,액정표시장치(LIQUID CRYSTAL DISPLAY),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.29,저전력 엘씨디 신호 생성 장치(LOW-POWER CONSUMPTION SIGNAL GENERATOR FOR USE IN LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.30,플라즈마디스플레이패널(PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.25,액정표시소자의폴리실리콘박막트랜지스터및그의제조방법(POLY-SILICON THIN FILM TRANSISTOR OF LIQUID CRYSTAL DISPLAY AND MANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.10,전전자 교환기에서의 다중상황 표시장치(device for displaying multi station of full electronic telephone exchange),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.26,액정표시소자의 데이터 라인 형성방법(METHOD OF FORMING A DATA LINE IN LCD(LIQUID CRYSTAL DISPLAY)),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.06.25,액정표시장치(Liquid Crystal Display Device),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
