발명의명칭,출원인,출원일자,심사진행상태
챔버 탑 리드 히터(TOP LEAD HEATER CONTROLER OF SEMICONDUCTOR MAKING APPARATUS),에스케이하이닉스 주식회사(경기도 이천시...),1994.11.02,등록결정(일반)
적층내부리드리드프레임(lead frame of inner lead stack),에스케이하이닉스 주식회사(경기도 이천시...),1994.10.10,등록결정(일반)
패드가없는반도체패키지(LEAD ON CHIP SEMICONDUCTOR PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1994.02.17,등록결정(일반)
리드프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1994.02.17,등록결정(일반)
크랙방지용리드프레임(lead frame for crack prevent),에스케이하이닉스 주식회사(경기도 이천시...),1994.02.04,등록결정(일반)
리드온칩용다이어태치검출장치(DIE-ATTACH DETECTING APPARATUS FOR LEAD ON CHIP),에스케이하이닉스 주식회사(경기도 이천시...),1993.08.20,등록결정(일반)
리드온칩패키지(LEAD ON PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1993.08.12,등록결정(일반)
리드프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1993.07.20,등록결정(일반)
하이리드용리드프레임고정장치(FIX DEVICE OF HIREAD TYPE LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1992.12.24,등록결정(일반)
리드프레임용매가진(LEAD FRAME MAGAJIN),에스케이하이닉스 주식회사(경기도 이천시...),1992.11.13,등록결정(일반)
리드프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1992.11.10,등록결정(일반)
리드온칩패키지(LEAD ON CHIP PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1992.11.02,등록결정(일반)
리드온칩패키지(LEAD ON CHIP PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1992.10.28,등록결정(일반)
반도체 소자의 리드 프레임(LEAD FRAME OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),2006.02.23,취하(심사미청구)
리드프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1991.12.26,등록결정(일반)
리드프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1991.11.12,등록결정(일반)
하이브리드I.C패캐이지용리드프레임(LEAD FRAME FOR HYBRID IC PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1991.10.01,등록결정(일반)
반도체 패키지용 리드 프레임(Lead frame for semiconductor package),에스케이하이닉스 주식회사(경기도 이천시...),2004.07.21,취하(심사미청구)
요철홈이형성된반도체조립용리드프레임(LEAD FRAME ASSEMBLY),에스케이하이닉스 주식회사(경기도 이천시...),1991.04.26,등록결정(일반)
리드타입 반도체패키지(lead type semiconductor package),에스케이하이닉스 주식회사(경기도 이천시...),2004.01.08,취하(심사미청구)
삽입형리드프레임(INTERVENTION TYPE LEAD-FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.30,등록결정(일반)
리드프레임(LEAD-FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.30,등록결정(일반)
듀얼리드프레임(DUAL LEAD-FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.27,등록결정(일반)
내측리드유동방지용리드프레임(INTERNAL LEAD MOVING PROTECTING LEAD-FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.23,등록결정(일반)
리프드레임스트립(LEAD FRAME STRIP),에스케이하이닉스 주식회사(경기도 이천시...),1990.09.29,등록결정(일반)
P-DIP8리드듀얼IDF리드프레임(DUAL IDF LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.08.24,등록결정(일반)
리드프레임패드지지부재절단장치(LEAD FRAME CUTTER),에스케이하이닉스 주식회사(경기도 이천시...),1990.07.21,등록결정(일반)
리드프레임(LEAD-FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.05.04,등록결정(일반)
리드프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1990.04.21,등록결정(일반)
리드프레임환원장치(HEATING EQUIPMENT FOR LEAD FRAME OF SEMICONDUCTOR),에스케이하이닉스 주식회사(경기도 이천시...),1989.11.30,등록결정(일반)
리드프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1989.11.28,등록결정(일반)
리드프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1989.11.28,등록결정(일반)
호환성리드프레임(LEAD-FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1989.05.30,등록결정(일반)
"반도체 패키지 제조용 리드온칩 다이본딩 장비의 마운트툴 및 이의 세팅용 지그(Mount tool of lead-on-chip die bonding equipment formanufacturingsemiconductor packages, and zig forsetting the tool)",에스케이하이닉스 주식회사(경기도 이천시...),2001.12.28,취하(심사미청구)
리드 프레임 카운팅 장치(COUNTING APPARATUS OF A LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),2000.12.30,취하(심사미청구)
리드프레임 위치제어장치(A position controlling apparatus of lead frames),에스케이하이닉스 주식회사(경기도 이천시...),2000.12.30,취하(심사미청구)
반도체 패키지 제조용 리드컷 다이 구조(structure of lead cut die for fabricatingsemiconductor package),에스케이하이닉스 주식회사(경기도 이천시...),2000.12.12,취하(심사미청구)
리드 컨디셔닝 시스템(LEAD CONDITIONING SYSTEM),에스케이하이닉스 주식회사(경기도 이천시...),2000.08.25,취하(심사미청구)
반도체 리드프레임 적재용 메가진(SEMICONDUCTOR LEAD FRAME STOCK MAGAZINE),에스케이하이닉스 주식회사(경기도 이천시...),2000.01.12,등록결정(일반)
반도체 패키지의 아우터 리드 성형 장치(APPARATUS FOR FORMING OUTER LEAD OF SEMICONDUCTORPACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1999.12.29,등록결정(일반)
보텀 리드 패키지(BOTTOM LEAD PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1999.12.22,취하(심사미청구)
적층형 버틈리드패키지 및 제조방법(STACKED BUTTOM LEAD PACKAGE AND MANUFACTURING METHODTHEREOF),에스케이하이닉스 주식회사(경기도 이천시...),1999.10.09,등록결정(일반)
적층형 비엘피 패키지 및 제조방법(STACKED BUTTOM LEADED PLASTIC PACKAGE ANDMANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),1999.10.06,원결정유지(심사전치)
적층형 버틈 리드 패키지 및 그 제조방법(STACKED BOTTOM LEAD PACKAGE AND MANUFACTURING METHODTHEREOF),에스케이하이닉스 주식회사(경기도 이천시...),1999.09.21,취하(심사미청구)
반도체의 리드프레임(LEAD FRAME FOR SEMICONDUCTOR),에스케이하이닉스 주식회사(경기도 이천시...),1999.08.06,취하(심사미청구)
